項目,群分け,転帰,群1該当,群2該当,群1割合,群2割合,オッズ比,p,p_fdr
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,MMSEが2点以上低下,0/2,4/12,0,0.333,,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,MMSEが1点以上低下,0/2,6/12,0,0.5,,0.4725,1
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,CDR-SBが1点以上悪化,1/2,6/12,0.5,0.5,1,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,CDR-SBが0.5点以上悪化,1/2,9/12,0.5,0.75,0.333,0.5055,1
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,時間見当識が1点以上低下,0/2,8/12,0,0.667,,0.1648,1
NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,遅延再生が1点以上低下,1/2,3/12,0.5,0.25,3,0.5055,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,MMSEが2点以上低下,3/9,1/5,0.333,0.2,2,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,MMSEが1点以上低下,4/9,2/5,0.444,0.4,1.2,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,CDR-SBが1点以上悪化,5/9,2/5,0.556,0.4,1.875,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,CDR-SBが0.5点以上悪化,6/9,4/5,0.667,0.8,0.5,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,時間見当識が1点以上低下,5/9,3/5,0.556,0.6,0.833,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,遅延再生が1点以上低下,2/9,2/5,0.222,0.4,0.429,0.5804,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,MMSEが2点以上低下,0/3,4/11,0,0.364,,0.5055,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,MMSEが1点以上低下,0/3,6/11,0,0.545,,0.2088,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,CDR-SBが1点以上悪化,2/3,5/11,0.667,0.455,2.4,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,CDR-SBが0.5点以上悪化,3/3,7/11,1,0.636,,0.5055,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,時間見当識が1点以上低下,1/3,7/11,0.333,0.636,0.286,0.5385,1
NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,遅延再生が1点以上低下,0/3,4/11,0,0.364,,0.5055,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,MMSEが2点以上低下,1/4,3/10,0.25,0.3,0.778,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,MMSEが1点以上低下,2/4,4/10,0.5,0.4,1.5,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,CDR-SBが1点以上悪化,1/4,6/10,0.25,0.6,0.222,0.5594,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,CDR-SBが0.5点以上悪化,2/4,8/10,0.5,0.8,0.25,0.5205,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,時間見当識が1点以上低下,2/4,6/10,0.5,0.6,0.667,1,1
NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,遅延再生が1点以上低下,3/4,1/10,0.75,0.1,27,0.04096,1
NPI第9項目（易怒性）,A_改善,MMSEが2点以上低下,0/1,4/13,0,0.308,,1,1
NPI第9項目（易怒性）,A_改善,MMSEが1点以上低下,0/1,6/13,0,0.462,,1,1
NPI第9項目（易怒性）,A_改善,CDR-SBが1点以上悪化,1/1,6/13,1,0.462,,1,1
NPI第9項目（易怒性）,A_改善,CDR-SBが0.5点以上悪化,1/1,9/13,1,0.692,,1,1
NPI第9項目（易怒性）,A_改善,時間見当識が1点以上低下,1/1,7/13,1,0.538,,1,1
NPI第9項目（易怒性）,A_改善,遅延再生が1点以上低下,0/1,4/13,0,0.308,,1,1
NPI第9項目（易怒性）,B_最終なし,MMSEが2点以上低下,2/6,2/8,0.333,0.25,1.5,1,1
NPI第9項目（易怒性）,B_最終なし,MMSEが1点以上低下,2/6,4/8,0.333,0.5,0.5,0.627,1
NPI第9項目（易怒性）,B_最終なし,CDR-SBが1点以上悪化,4/6,3/8,0.667,0.375,3.333,0.5921,1
NPI第9項目（易怒性）,B_最終なし,CDR-SBが0.5点以上悪化,4/6,6/8,0.667,0.75,0.667,1,1
NPI第9項目（易怒性）,B_最終なし,時間見当識が1点以上低下,3/6,5/8,0.5,0.625,0.6,1,1
NPI第9項目（易怒性）,B_最終なし,遅延再生が1点以上低下,1/6,3/8,0.167,0.375,0.333,0.5804,1
NPI第9項目（易怒性）,C_新規出現,MMSEが2点以上低下,1/6,3/8,0.167,0.375,0.333,0.5804,1
NPI第9項目（易怒性）,C_新規出現,MMSEが1点以上低下,3/6,3/8,0.5,0.375,1.667,1,1
NPI第9項目（易怒性）,C_新規出現,CDR-SBが1点以上悪化,3/6,4/8,0.5,0.5,1,1,1
NPI第9項目（易怒性）,C_新規出現,CDR-SBが0.5点以上悪化,4/6,6/8,0.667,0.75,0.667,1,1
NPI第9項目（易怒性）,C_新規出現,時間見当識が1点以上低下,3/6,5/8,0.5,0.625,0.6,1,1
NPI第9項目（易怒性）,C_新規出現,遅延再生が1点以上低下,2/6,2/8,0.333,0.25,1.5,1,1
NPI第9項目（易怒性）,D_BLあり,MMSEが2点以上低下,1/3,3/11,0.333,0.273,1.333,1,1
NPI第9項目（易怒性）,D_BLあり,MMSEが1点以上低下,1/3,5/11,0.333,0.455,0.6,1,1
NPI第9項目（易怒性）,D_BLあり,CDR-SBが1点以上悪化,1/3,6/11,0.333,0.545,0.417,1,1
NPI第9項目（易怒性）,D_BLあり,CDR-SBが0.5点以上悪化,3/3,7/11,1,0.636,,0.5055,1
NPI第9項目（易怒性）,D_BLあり,時間見当識が1点以上低下,3/3,5/11,1,0.455,,0.2088,1
NPI第9項目（易怒性）,D_BLあり,遅延再生が1点以上低下,1/3,3/11,0.333,0.273,1.333,1,1
